
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:61414        127.0.0.1:50571        TIME_WAIT       0
  TCP    127.0.0.1:61430        127.0.0.1:50571        TIME_WAIT       0
  TCP    127.0.0.1:61432        127.0.0.1:27015        TIME_WAIT       0
  TCP    127.0.0.1:61433        127.0.0.1:27015        TIME_WAIT       0
  TCP    127.0.0.1:61434        127.0.0.1:27015        TIME_WAIT       0
  TCP    127.0.0.1:61435        127.0.0.1:27015        TIME_WAIT       0
  TCP    127.0.0.1:61436        127.0.0.1:27015        TIME_WAIT       0
  TCP    127.0.0.1:61447        127.0.0.1:50571        ESTABLISHED     20612
  TCP    127.0.0.1:61449        127.0.0.1:50570        ESTABLISHED     16428
  TCP    127.0.0.1:62522        0.0.0.0:0              LISTENING       2068
  TCP    127.0.0.1:62522        127.0.0.1:62896        ESTABLISHED     2068
  TCP    127.0.0.1:62846        127.0.0.1:27015        ESTABLISHED     10560
  TCP    127.0.0.1:62896        127.0.0.1:62522        ESTABLISHED     11392
  TCP    127.0.0.1:62917        127.0.0.1:62918        ESTABLISHED     12768
  TCP    127.0.0.1:62918        127.0.0.1:62917        ESTABLISHED     12768
  TCP    127.0.0.1:63342        0.0.0.0:0              LISTENING       16428
  TCP    127.0.0.1:63462        127.0.0.1:27015        ESTABLISHED     12596
  TCP    127.0.0.1:63466        127.0.0.1:27015        CLOSE_WAIT      12596
  TCP    127.0.0.1:63470        127.0.0.1:5354         ESTABLISHED     12596
  TCP    127.0.0.1:63474        127.0.0.1:5354         ESTABLISHED     12596
  TCP    127.0.0.1:63475        127.0.0.1:5354         ESTABLISHED     12596
  TCP    127.0.0.1:63482        127.0.0.1:27015        ESTABLISHED     12596
  TCP    142.107.66.34:139      0.0.0.0:0              LISTENING       4
  TCP    142.107.66.34:49152    0.0.0.0:0              LISTENING       3396
  TCP    142.107.66.34:49652    204.40.130.129:3128    ESTABLISHED     9844
  TCP    142.107.66.34:50239    204.40.130.129:3128    ESTABLISHED     9844
  TCP    142.107.66.34:50586    204.40.130.129:3128    ESTABLISHED     9844
  TCP    142.107.66.34:50768    204.40.130.129:3128    ESTABLISHED     9844
  TCP    142.107.66.34:59658    142.107.194.34:5003    ESTABLISHED     3860
  TCP    142.107.66.34:59660    10.194.72.25:60010     ESTABLISHED     3860
  TCP    142.107.66.34:59724    204.40.194.129:3128    ESTABLISHED     8512
  TCP    142.107.66.34:59757    204.40.194.129:3128    ESTABLISHED     8512
  TCP    142.107.66.34:59771    204.40.194.129:9001    CLOSE_WAIT      10660
  TCP    142.107.66.34:59772    204.40.194.129:9001    CLOSE_WAIT      9844
  TCP    142.107.66.34:59773    204.40.194.129:9001    CLOSE_WAIT      9844
